"i","e","h","m","f","c","dprime","beta","aprime","bppd","c"
"AbigailBandas","Black",16,4,0,20,2.77239100439065,5.19836517002748,0.95,1,0.594556894451952
"AdaugoChukwuka","Black",8,12,9,11,-0.121392280846185,0.978345499103998,0.451388888888889,0.0153846153846155,0.180344253462934
"Ashley","White",18,2,0,20,3.16051351425914,3.54582863817865,0.975,1,0.400495639517709
"AsiaTaylor","Black",14,6,1,19,1.96243436336708,2.58532397743863,0.903195488721805,0.631067961165049,0.484016611001984
"BrandonBost","White",16,4,8,12,1.0326790016294,0.752544154583952,0.791666666666667,-0.2,-0.275299106928674
"CalebLane","White",13,7,7,13,0.732212713601139,1,0.730769230769231,0,0
"CarmenWilson","Black",19,1,2,18,2.64499491029738,0.685547913792303,0.959795321637427,-0.309090909090909,-0.142736337536831
"ClaireHollingsworth","White",15,5,0,20,2.61823655760966,5.80370786679107,0.9375,1,0.671634117842451
"DanellyQ","White",13,7,5,15,1.00359051776295,1.14588366077857,0.787179487179487,0.0963855421686747,0.135688902080904
"GabriellaWatkins","Black",20,0,0,20,3.96150479329456,1,1,1,1.11022302462516e-16
"GraceGerstner","White",19,1,0,20,3.4459861893328,2.43083542556838,0.9875,0.172413793103448,0.257759301980878
"JacobFoster","White",17,3,2,18,2.14718268371356,1.25604249872124,0.928921568627451,1,0.106169775755079
"JerniahWilliams","Black",19,1,0,20,3.4459861893328,2.43083542556838,0.9875,0.466666666666667,0.257759301980878
"KyleeCarnes","White",11,9,2,18,1.2994092306517,1.99124547906172,0.829545454545455,1,0.530056502286009
"KyleeRangel","White",19,1,0,20,3.4459861893328,2.43083542556838,0.9875,-0.19047619047619,0.257759301980878
"landonshelton","Black",17,3,5,15,1.60490572706408,0.767390703487931,0.876470588235294,1,-0.164968702569662
"LeahFranks","Black",13,7,0,20,2.34685875344785,6.65037401648796,0.9125,0.12280701754386,0.807323019923355
"LilyanCopeland","White",12,8,5,15,0.878524554848404,1.19022550836358,0.7625,0.113043478260869,0.198221883538175
"MaryPowers","White",16,4,3,17,1.75906017384508,1.16719846211926,0.894301470588235,0.2,0.0878914791791634
"McKenzieMoyer","White",12,8,4,16,1.0326790016294,1.32882568273068,0.791666666666667,0.174193548387097,0.275299106928674
"MeganHughes","White",13,7,4,16,1.15774496454394,1.27932028608387,0.813701923076923,-0.2,0.212766125471402
"MorganPope","White",16,4,8,12,1.0326790016294,0.752544154583952,0.791666666666667,1,-0.275299106928674
"Nikyla","Black",16,4,0,20,2.77239100439065,5.19836517002748,0.95,0.19047619047619,0.594556894451952
"OluwafisayomiDada","Black",15,5,3,17,1.60490572706408,1.30311716763679,0.876470588235294,0.244444444444444,0.164968702569662
"PaulGuyette","White",14,6,3,17,1.46462213678326,1.41106965808458,0.858193277310924,-0.28,0.235110497710074
"SabrinaLaRue","White",18,2,4,16,1.97139972535523,0.68210456984112,0.913194444444444,0.306122448979592,-0.194061254934243
"SarahHayes","White",8,12,3,17,0.726381172215675,1.55100329330782,0.729779411764706,-0.309090909090909,0.604230979993864
"ShavonBerkley","Black",19,1,2,18,2.64499491029738,0.685547913792303,0.959795321637427,0.0963855421686747,-0.142736337536831
"TaylorWilson","White",13,7,5,15,1.00359051776295,1.14588366077857,0.787179487179487,-0.595744680851064,0.135688902080904
"TylerParker","White",19,1,5,15,2.1027179536479,0.418841795859104,0.917543859649123,0,-0.413874815861573
"ZacharyDeeb","White",12,8,8,12,0.482080787772054,1,0.666666666666667,-1,0
"6298813270372901ADA","Black",20,0,1,19,3.4459861893328,0.411381202314912,0.9875,-0.172413793103448,-0.257759301980878
"j00867279KS","Black",18,2,3,17,2.14718268371356,0.796151404923072,0.928921568627451,0.32,-0.106169775755079
"J00892472B.O.","Black",11,9,3,17,1.08706967914154,1.58533288570171,0.799465240641711,1,0.42388672653093
"j00896894","Black",17,3,0,20,2.94817396274898,4.45371146273524,0.9625,-0.595744680851064,0.506665415272789
"j00900405J.B","Black",19,1,5,15,2.1027179536479,0.418841795859104,0.917543859649123,0.457142857142857,-0.413874815861573
"J0090373JB","Black",17,3,1,19,2.43265535878722,1.83217317630373,0.945820433436533,0.0791366906474819,0.24890611329191
"J00908264LN","Black",5,15,4,16,0.154154446780998,1.11644866741064,0.565625,0.12280701754386,0.714561384352876
"J00914039Z.R.","Black",12,8,5,15,0.878524554848404,1.19022550836358,0.7625,-0.542168674698795,0.198221883538175
"J009143cb","Black",19,1,4,16,2.2568724004289,0.467615364842776,0.931743421052632,-0.542168674698795,-0.336797592471074
"J00924332TJ","Black",19,1,4,16,2.2568724004289,0.467615364842776,0.931743421052632,0.654545454545455,-0.336797592471074
"J00926853EC","Black",13,7,1,19,1.83134014948609,2.73583885874667,0.888663967611336,-1,0.549563717942476
"J00934210CC","Black",20,0,5,15,2.61823655760966,0.172303641560255,0.9375,1,-0.671634117842451
