"Username","participant ethnicity","Response.RT","Response.JOL","Target_Ethnicity","Target_Gender","scored"
"6298813270372901ADA","Black",18163,80,"B","F",1
"6298813270372901ADA","Black",25451,12,"W","M",1
"6298813270372901ADA","Black",13867,60,"W","M",1
"6298813270372901ADA","Black",10077,100,"W","M",1
"6298813270372901ADA","Black",8855,10,"W","M",1
"6298813270372901ADA","Black",4692,0,"W","M",0
"6298813270372901ADA","Black",9941,0,"W","M",1
"6298813270372901ADA","Black",13587,0,"W","M",1
"6298813270372901ADA","Black",6911,20,"B","F",1
"6298813270372901ADA","Black",11063,100,"B","F",1
"6298813270372901ADA","Black",6812,20,"B","F",1
"6298813270372901ADA","Black",9977,45,"B","F",1
"6298813270372901ADA","Black",15739,70,"B","F",1
"6298813270372901ADA","Black",5914,0,"W","M",1
"6298813270372901ADA","Black",8671,95,"B","F",1
"6298813270372901ADA","Black",13078,60,"B","F",1
"6298813270372901ADA","Black",28626,70,"B","F",1
"6298813270372901ADA","Black",20639,55,"B","M",1
"6298813270372901ADA","Black",20262,56,"B","M",1
"6298813270372901ADA","Black",6080,0,"B","M",1
"6298813270372901ADA","Black",13130,100,"B","M",1
"6298813270372901ADA","Black",24517,25,"B","M",1
"6298813270372901ADA","Black",6125,85,"B","M",1
"6298813270372901ADA","Black",9383,100,"B","M",1
"6298813270372901ADA","Black",5587,44,"B","M",1
"6298813270372901ADA","Black",19359,39,"B","M",1
"6298813270372901ADA","Black",13699,65,"B","F",1
"6298813270372901ADA","Black",12345,90,"W","F",1
"6298813270372901ADA","Black",14350,25,"W","F",1
"6298813270372901ADA","Black",11070,20,"W","F",1
"6298813270372901ADA","Black",28909,50,"W","F",1
"6298813270372901ADA","Black",13057,75,"W","F",1
"6298813270372901ADA","Black",5722,30,"W","F",1
"6298813270372901ADA","Black",9366,80,"W","F",1
"6298813270372901ADA","Black",5712,0,"W","F",1
"6298813270372901ADA","Black",12135,33,"W","F",1
"6298813270372901ADA","Black",10896,100,"W","F",1
"6298813270372901ADA","Black",7580,20,"W","M",1
"6298813270372901ADA","Black",6638,100,"W","M",1
"6298813270372901ADA","Black",34278,69,"B","M",1
"j00867279KS","Black",20550,50,"B","F",1
"j00867279KS","Black",13420,45,"B","F",1
"j00867279KS","Black",9484,53,"B","M",1
"j00867279KS","Black",11754,30,"B","M",1
"j00867279KS","Black",8587,14,"B","M",1
"j00867279KS","Black",20412,54,"B","F",1
"j00867279KS","Black",4309,12,"W","F",0
"j00867279KS","Black",7741,45,"B","M",1
"j00867279KS","Black",11004,55,"B","F",1
"j00867279KS","Black",22036,14,"B","M",1
"j00867279KS","Black",4817,45,"B","F",1
"j00867279KS","Black",6800,12,"W","F",1
"j00867279KS","Black",8314,45,"B","M",1
"j00867279KS","Black",7111,5,"W","F",0
"j00867279KS","Black",7870,30,"B","M",1
"j00867279KS","Black",7300,20,"B","M",1
"j00867279KS","Black",11252,12,"W","F",0
"j00867279KS","Black",11464,76,"B","F",1
"j00867279KS","Black",5012,10,"W","F",0
"j00867279KS","Black",6114,10,"W","M",1
"j00867279KS","Black",8799,11,"W","F",1
"j00867279KS","Black",11628,45,"W","F",0
"j00867279KS","Black",9097,25,"W","F",0
"j00867279KS","Black",6826,25,"B","M",0
"j00867279KS","Black",5666,2,"W","M",0
"j00867279KS","Black",15228,90,"B","F",1
"j00867279KS","Black",8041,50,"W","F",0
"j00867279KS","Black",10668,65,"W","M",1
"j00867279KS","Black",6009,50,"W","M",1
"j00867279KS","Black",11158,65,"B","M",1
"j00867279KS","Black",21407,22,"W","M",1
"j00867279KS","Black",9360,13,"W","M",1
"j00867279KS","Black",4966,2,"W","F",0
"j00867279KS","Black",20182,15,"W","M",1
"j00867279KS","Black",7808,19,"W","M",1
"j00867279KS","Black",13155,10,"W","M",0
"j00867279KS","Black",9872,45,"B","F",0
"j00867279KS","Black",12049,64,"B","F",1
"j00867279KS","Black",4454,3,"W","M",1
"j00867279KS","Black",18700,30,"B","F",1
"J00892472B.O.","Black",3222,92,"B","M",1
"J00892472B.O.","Black",3862,90,"B","F",1
"J00892472B.O.","Black",3121,89,"W","M",1
"J00892472B.O.","Black",3579,90,"B","F",0
"J00892472B.O.","Black",3291,91,"W","M",0
"J00892472B.O.","Black",4589,90,"W","M",0
"J00892472B.O.","Black",5772,92,"B","F",1
"J00892472B.O.","Black",3573,91,"B","F",0
"J00892472B.O.","Black",3039,93,"B","F",0
"J00892472B.O.","Black",3349,88,"B","M",0
"J00892472B.O.","Black",3692,97,"W","M",1
"J00892472B.O.","Black",4459,87,"W","M",0
"J00892472B.O.","Black",4178,100,"B","M",1
"J00892472B.O.","Black",5806,99,"B","F",0
"J00892472B.O.","Black",4937,89,"B","F",1
"J00892472B.O.","Black",4275,90,"B","F",1
"J00892472B.O.","Black",3314,98,"B","M",1
"J00892472B.O.","Black",4802,91,"B","F",0
"J00892472B.O.","Black",2856,88,"W","F",1
"J00892472B.O.","Black",5181,100,"B","M",1
"J00892472B.O.","Black",4523,87,"B","M",0
"J00892472B.O.","Black",3211,84,"B","M",1
"J00892472B.O.","Black",3975,94,"B","M",0
"J00892472B.O.","Black",3063,888,"B","F",0
"J00892472B.O.","Black",12983,89,"W","F",1
"J00892472B.O.","Black",3682,89,"W","F",1
"J00892472B.O.","Black",4838,94,"W","F",1
"J00892472B.O.","Black",4762,97,"W","F",1
"J00892472B.O.","Black",3275,93,"W","F",1
"J00892472B.O.","Black",5388,92,"W","F",1
"J00892472B.O.","Black",3948,95,"B","M",1
"J00892472B.O.","Black",4076,100,"W","M",1
"J00892472B.O.","Black",4172,84,"B","M",1
"J00892472B.O.","Black",3618,99,"W","M",1
"J00892472B.O.","Black",3083,88,"W","F",1
"J00892472B.O.","Black",3064,90,"W","F",1
"J00892472B.O.","Black",3722,95,"W","M",1
"J00892472B.O.","Black",3990,85,"W","M",1
"J00892472B.O.","Black",4194,85,"W","F",1
"J00892472B.O.","Black",4286,97,"W","M",1
"j00896894","Black",3658,6,"B","F",1
